,item out of stock
2023-05-14 00:00:00+00:00,32.842970085470085
2023-05-21 00:00:00+00:00,32.38253968253968
2023-05-28 00:00:00+00:00,28.168357843137255
2023-06-04 00:00:00+00:00,28.4890770609319
2023-06-11 00:00:00+00:00,34.954571428571434
2023-06-18 00:00:00+00:00,36.12532986111111
2023-06-25 00:00:00+00:00,31.384729166666666
2023-07-02 00:00:00+00:00,30.155640432098764
2023-07-09 00:00:00+00:00,28.294525089605735
2023-07-16 00:00:00+00:00,49.02300793650794
2023-07-23 00:00:00+00:00,35.05686186186186
2023-07-30 00:00:00+00:00,38.15627976190476
2023-08-06 00:00:00+00:00,40.11841750841751
2023-08-13 00:00:00+00:00,58.244224137931035
2023-08-20 00:00:00+00:00,53.70886015325671
2023-08-27 00:00:00+00:00,68.3208831908832
2023-09-03 00:00:00+00:00,48.44813492063492
2023-09-10 00:00:00+00:00,34.222311827956986
2023-09-17 00:00:00+00:00,31.962508680555555
2023-09-24 00:00:00+00:00,21.716257716049384
2023-10-01 00:00:00+00:00,25.437800000000003
2023-10-08 00:00:00+00:00,28.596161616161616
2023-10-15 00:00:00+00:00,26.738407407407408
2023-10-22 00:00:00+00:00,33.86611111111111
2023-10-29 00:00:00+00:00,27.738723958333335
2023-11-05 00:00:00+00:00,31.544097222222224
2023-11-12 00:00:00+00:00,29.66671052631579
2023-11-19 00:00:00+00:00,38.00194444444444
2023-11-26 00:00:00+00:00,19.930860215053762
2023-12-03 00:00:00+00:00,18.948955555555557
2023-12-10 00:00:00+00:00,27.362969576719575
2023-12-17 00:00:00+00:00,31.02244855967078
2023-12-24 00:00:00+00:00,31.78938697318008
2023-12-31 00:00:00+00:00,28.595231481481484
2024-01-07 00:00:00+00:00,23.55702380952381
2024-01-14 00:00:00+00:00,25.729002525252522
2024-01-21 00:00:00+00:00,26.858611111111113
2024-01-28 00:00:00+00:00,32.551128472222224
2024-02-04 00:00:00+00:00,42.88842592592593
2024-02-11 00:00:00+00:00,24.862609126984125
2024-02-18 00:00:00+00:00,26.314957264957265
2024-02-25 00:00:00+00:00,42.37585249042145
2024-03-03 00:00:00+00:00,27.11241452991453
2024-03-10 00:00:00+00:00,42.443416666666664
2024-03-17 00:00:00+00:00,32.956269841269844
2024-03-24 00:00:00+00:00,27.402195767195767
